specimenID       plantName        totalHeight (cm) totalWidth (cm)  stemNumbers     
1001             Maple            11               455.68           637.36          

stemID           locationX        locationY        stemLength       radians         
0                0.00             0.00             100.00           1.57            
1                0.00             100.00           83.33            2.09            
2                0.00             100.00           83.33            1.05            
3                -41.67           172.17           69.44            2.62            
4                -41.67           172.17           69.44            1.57            
5                41.67            172.17           69.44            1.57            
6                41.67            172.17           69.44            0.52            
7                -101.81          206.89           57.87            3.14            
8                -101.81          206.89           57.87            2.09            
9                -41.67           241.61           57.87            2.09            
10               -41.67           241.61           57.87            1.05            
11               41.67            241.61           57.87            2.09            
12               41.67            241.61           57.87            1.05            
13               101.81           206.89           57.87            1.05            
14               101.81           206.89           57.87            0.00            
15               -159.68          206.89           48.23            3.67            
16               -159.68          206.89           48.23            2.62            
17               -130.74          257.01           48.23            2.62            
18               -130.74          257.01           48.23            1.57            
19               -70.60           291.73           48.23            2.62            
20               -70.60           291.73           48.23            1.57            
21               -12.73           291.73           48.23            1.57            
22               -12.73           291.73           48.23            0.52            
23               12.73            291.73           48.23            2.62            
24               12.73            291.73           48.23            1.57            
25               70.60            291.73           48.23            1.57            
26               70.60            291.73           48.23            0.52            
27               130.74           257.01           48.23            1.57            
28               130.74           257.01           48.23            0.52            
29               159.68           206.89           48.23            0.52            
30               159.68           206.89           48.23            -0.52           
31               -201.44          182.78           40.19            4.19            
32               -201.44          182.78           40.19            3.14            
33               -201.44          231.00           40.19            3.14            
34               -201.44          231.00           40.19            2.09            
35               -172.51          281.12           40.19            3.14            
36               -172.51          281.12           40.19            2.09            
37               -130.74          305.23           40.19            2.09            
38               -130.74          305.23           40.19            1.05            
39               -112.37          315.84           40.19            3.14            
40               -112.37          315.84           40.19            2.09            
41               -70.60           339.96           40.19            2.09            
42               -70.60           339.96           40.19            1.05            
43               -12.73           339.96           40.19            2.09            
44               -12.73           339.96           40.19            1.05            
45               29.03            315.84           40.19            1.05            
46               29.03            315.84           40.19            0.00            
47               -29.03           315.84           40.19            3.14            
48               -29.03           315.84           40.19            2.09            
49               12.73            339.96           40.19            2.09            
50               12.73            339.96           40.19            1.05            
51               70.60            339.96           40.19            2.09            
52               70.60            339.96           40.19            1.05            
53               112.37           315.84           40.19            1.05            
54               112.37           315.84           40.19            0.00            
55               130.74           305.23           40.19            2.09            
56               130.74           305.23           40.19            1.05            
57               172.51           281.12           40.19            1.05            
58               172.51           281.12           40.19            0.00            
59               201.44           231.00           40.19            1.05            
60               201.44           231.00           40.19            0.00            
61               201.44           182.78           40.19            0.00            
62               201.44           182.78           40.19            -1.05           
63               -221.54          147.97           33.49            4.71            
64               -221.54          147.97           33.49            3.67            
65               -241.63          182.78           33.49            3.67            
66               -241.63          182.78           33.49            2.62            
67               -241.63          231.00           33.49            3.67            
68               -241.63          231.00           33.49            2.62            
69               -221.54          265.81           33.49            2.62            
70               -221.54          265.81           33.49            1.57            
71               -212.69          281.12           33.49            3.67            
72               -212.69          281.12           33.49            2.62            
73               -192.60          315.92           33.49            2.62            
74               -192.60          315.92           33.49            1.57            
75               -150.84          340.04           33.49            2.62            
76               -150.84          340.04           33.49            1.57            
77               -110.65          340.04           33.49            1.57            
78               -110.65          340.04           33.49            0.52            
79               -152.55          315.84           33.49            3.67            
80               -152.55          315.84           33.49            2.62            
81               -132.46          350.65           33.49            2.62            
82               -132.46          350.65           33.49            1.57            
83               -90.70           374.76           33.49            2.62            
84               -90.70           374.76           33.49            1.57            
85               -50.51           374.76           33.49            1.57            
86               -50.51           374.76           33.49            0.52            
87               -32.83           374.76           33.49            2.62            
88               -32.83           374.76           33.49            1.57            
89               7.36             374.76           33.49            1.57            
90               7.36             374.76           33.49            0.52            
91               49.13            350.65           33.49            1.57            
92               49.13            350.65           33.49            0.52            
93               69.22            315.84           33.49            0.52            
94               69.22            315.84           33.49            -0.52           
95               -69.22           315.84           33.49            3.67            
96               -69.22           315.84           33.49            2.62            
97               -49.13           350.65           33.49            2.62            
98               -49.13           350.65           33.49            1.57            
99               -7.36            374.76           33.49            2.62            
100              -7.36            374.76           33.49            1.57            
101              32.83            374.76           33.49            1.57            
102              32.83            374.76           33.49            0.52            
103              50.51            374.76           33.49            2.62            
104              50.51            374.76           33.49            1.57            
105              90.70            374.76           33.49            1.57            
106              90.70            374.76           33.49            0.52            
107              132.46           350.65           33.49            1.57            
108              132.46           350.65           33.49            0.52            
109              152.55           315.84           33.49            0.52            
110              152.55           315.84           33.49            -0.52           
111              110.65           340.04           33.49            2.62            
112              110.65           340.04           33.49            1.57            
113              150.84           340.04           33.49            1.57            
114              150.84           340.04           33.49            0.52            
115              192.60           315.92           33.49            1.57            
116              192.60           315.92           33.49            0.52            
117              212.69           281.12           33.49            0.52            
118              212.69           281.12           33.49            -0.52           
119              221.54           265.81           33.49            1.57            
120              221.54           265.81           33.49            0.52            
121              241.63           231.00           33.49            0.52            
122              241.63           231.00           33.49            -0.52           
123              241.63           182.78           33.49            0.52            
124              241.63           182.78           33.49            -0.52           
125              221.54           147.97           33.49            -0.52           
126              221.54           147.97           33.49            -1.57           
127              -221.54          114.48           27.91            5.24            
128              -221.54          114.48           27.91            4.19            
129              -250.54          131.23           27.91            4.19            
130              -250.54          131.23           27.91            3.14            
131              -270.63          166.03           27.91            4.19            
132              -270.63          166.03           27.91            3.14            
133              -270.63          199.52           27.91            3.14            
134              -270.63          199.52           27.91            2.09            
135              -270.63          214.26           27.91            4.19            
136              -270.63          214.26           27.91            3.14            
137              -270.63          247.75           27.91            3.14            
138              -270.63          247.75           27.91            2.09            
139              -250.54          282.55           27.91            3.14            
140              -250.54          282.55           27.91            2.09            
141              -221.54          299.30           27.91            2.09            
142              -221.54          299.30           27.91            1.05            
143              -241.70          264.38           27.91            4.19            
144              -241.70          264.38           27.91            3.14            
145              -241.70          297.87           27.91            3.14            
146              -241.70          297.87           27.91            2.09            
